resource_api,resource_desc,resource_doc,resource_grp,resource_mode,resource_example
/services/trackme/v1/elastic_sources/elastic_shared_del,elastic_shared_del / Delete a new shared Elastic Source,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-shared-del-delete-a-new-shared-elastic-source,/services/trackme/v1/elastic_sources,delete,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_shared_del"" mode=""delete"" body=""{\""data_name\"": \""elastic:shared:example:tstats\""}"""
/services/trackme/v1/elastic_sources/elastic_dedicated_del,elastic_dedicated_del / Delete a new shared Elastic Source,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-dedicated-del-delete-a-new-shared-elastic-source,/services/trackme/v1/elastic_sources,delete,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_dedicated_del"" mode=""delete"" body=""{\""data_name\"": \""elastic:dedicated:example:tstats\""}"""
/services/trackme/v1/maintenance/maintenance_status,maintenance_status / Get maintenance mode,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#maintenance-status-get-maintenance-mode,/services/trackme/v1/maintenance,get,"| trackme url=""/services/trackme/v1/maintenance/maintenance_status"" mode=""get"""
/services/trackme/v1/maintenance/maintenance_enable,maintenance_enable / Enable maintenance mode,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#maintenance-enable-enable-maintenance-mode,/services/trackme/v1/maintenance,post,"| trackme url=""/services/trackme/v1/maintenance/maintenance_enable"" mode=""post"" body=""{\""updated_comment\"": \""Beginning a 24 hours maintenance window.\""}"""
/services/trackme/v1/maintenance/maintenance_disable,maintenance_disable / Disable maintenance mode,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#maintenance-disable-disable-maintenance-mode,/services/trackme/v1/maintenance,post,"| trackme url=""/services/trackme/v1/maintenance/maintenance_disable"" mode=""post"" body=""{\""updated_comment\"": \""Terminating the maintenance window.\""}"""
/services/trackme/v1/allowlist/allowlist_ds,allowlist_ds / Get current allow list for data sources,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-ds-get-current-allow-list-for-data-sources,/services/trackme/v1/allowlist,get,"| trackme url=""/services/trackme/v1/allowlist/allowlist_ds"" mode=""get"""
/services/trackme/v1/allowlist/allowlist_dh,allowlist_dh / Get current allow list for data hosts,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-dh-get-current-allow-list-for-data-hosts,/services/trackme/v1/allowlist,get,"| trackme url=""/services/trackme/v1/allowlist/allowlist_dh"" mode=""get"""
/services/trackme/v1/allowlist/allowlist_mh,allowlist_mh / Get current allow list for metric hosts,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-mh-get-current-allow-list-for-metric-hosts,/services/trackme/v1/allowlist,get,"| trackme url=""/services/trackme/v1/allowlist/allowlist_mh"" mode=""get"""
/services/trackme/v1/allowlist/allowlist_ds_add,allowlist_ds_add / Add index allow list for data sources,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-ds-add-add-index-allow-list-for-data-sources,/services/trackme/v1/allowlist,post,"| trackme url=""/services/trackme/v1/allowlist/allowlist_ds_add"" mode=""post"" body=""{\""data_index\"": \""network*\""}"""
/services/trackme/v1/allowlist/allowlist_ds_del,allowlist_ds_del / Remove index allow list for data sources,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-ds-del-remove-index-allow-list-for-data-sources,/services/trackme/v1/allowlist,delete,"| trackme url=""/services/trackme/v1/allowlist/allowlist_ds_del"" mode=""delete"" body=""{\""data_index\"": \""network*\""}"""
